id,name,path
1,WooCommerce Home,WooCommerce &gt; Home
2,Order List,WooCommerce &gt; Orders
3,New Manual Order,WooCommerce &gt; Orders &gt; Button - Add Order (Top Left)
4,Order Details Page,WooCommerce &gt; Orders &gt; Click Order #
5,Order Notes,WooCommerce &gt; Orders &gt; Click Order # &gt; Find - Order Notes (Right side)
6,Coupons,WooCommerce &gt; Marketing &gt; Coupons
7,Marketing - Overview,WooCommerce &gt; Marketing &gt; Overview
8,Add Coupon,WooCommerce &gt; Marketing &gt; Coupons &gt; Button - Add Coupon (Top Left)
9,Customer List,WooCommerce &gt; Customers
10,Reports,WooCommerce &gt; Analytics &gt; Reports
11,Order Reports,WooCommerce &gt; Analytics &gt; Reports &gt; Orders
12,Customer Reports,WooCommerce &gt; Analytics &gt; Reports &gt; Customers
13,Stock Reports,WooCommerce &gt; Analytics &gt; Reports &gt; Stock
14,Tax Reports,WooCommerce &gt; Analytics &gt; Reports &gt; Taxes
15,General Settings,WooCommerce &gt; Settings &gt; General
16,Store Address,WooCommerce &gt; Settings &gt; General &gt; Store Address
17,Selling location(s),WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s)
18,Sell to all countries,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s) &gt; Select - Sell to all countries
19,"Sell to all countries, except for..","WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s) &gt; Select - Sell to all countries, except for.."
20,Sell to Specific Countries,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s) &gt; Select - Sell to Specific Countries
21,Shipping location(s),WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s)
22,Ship to all countries you sell to,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s) &gt; Select - Ship to all countries you sell to
23,Ship to all countries,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s) &gt; Select - Ship to all countries
24,Disable shipping and shipping Calculations,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s) &gt; Select - Disable shipping and shipping Calculations
25,Default customer location,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location
26,Default customer location - Shop base address,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; Shop base address
27,Default customer location - No location by default,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; No location by default
28,Default customer location - Geolocate,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; Geolocate
29,Cust. Location - Geolocate (with page caching support),WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; Geolocate (with page caching support)
30,Enable taxes,WooCommerce &gt; Settings &gt; Check - Enable tax rates and calculations
31,Disable taxes,WooCommerce &gt; Settings &gt; Uncheck - Enable tax rates and calculations
32,Enable coupons,WooCommerce &gt; Settings &gt; Check - Enable the use of coupon codes
33,Disable coupons,WooCommerce &gt; Settings &gt; Uncheck - Enable the use of coupon codes
34,Calculate coupon discounts sequentially,WooCommerce &gt; Settings &gt; Check - Calculate coupon discounts sequentially
35,Don&apos;t Calculate coupon discounts sequentially,WooCommerce &gt; Settings &gt; Uncheck - Calculate coupon discounts sequentially
36,Currency options,WooCommerce &gt; Settings &gt; Currency options
37,Select Currency,WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency
38,Currency position,WooCommerce &gt; Settings &gt; Currency options &gt; Currency position
39,Currency position - Left,WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Left
40,Currency position - Right,WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Right
