id,name,path
1,WooCommerce Dashboard,WooCommerce &gt; Dashboard
2,Order List,WooCommerce &gt; Orders
3,New Manual Order,WooCommerce &gt; Orders &gt; Button - Add Order (Top Left)
4,Order Details Page,WooCommerce &gt; Orders &gt; Click Order #
5,Order Notes,WooCommerce &gt; Orders &gt; Click Order # &gt; Find - Order Notes (Right side)
6,Coupons,Marketing &gt; Coupons
7,Add Coupon,Marketing &gt; Coupons &gt; Button - Add Coupon (Top Left)
8,Customer List,WooCommerce &gt; Customers
9,Reports,WooCommerce &gt; Reports
10,Order Reports,WooCommerce &gt; Reports &gt; Order
11,Customer Reports,WooCommerce &gt; Reports &gt; Customers
12,Stock Reports,WooCommerce &gt; Reports &gt; Stock
13,General Settings,WooCommerce &gt; Settings &gt; General
14,Store Address,WooCommerce &gt; Settings &gt; General &gt; Store Address
15,Selling location(s),WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s)
16,Sell to all countries,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s) &gt; Select - Sell to all countries
17,"Sell to all countries, except for..","WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s) &gt; Select - Sell to all countries, except for.."
18,Sell to Specific Countries,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s) &gt; Select - Sell to Specific Countries
19,Shipping location(s),WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s)
20,Ship to all countries you sell to,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s) &gt; Select - Ship to all countries you sell to
21,Ship to all countries,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s) &gt; Select - Ship to all countries
22,Disable shipping and shipping Calculations,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s) &gt; Select - Disable shipping and shipping Calculations
23,Default customer location,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location
24,Default customer location - Shop base address,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; Shop base address
25,Default customer location - No location by default,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; No location by default
26,Default customer location - Geolocate,WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; Geolocate
27,Cust. Location - Geolocate (with page caching support),WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; Geolocate (with page caching support)
28,Enable taxes,WooCommerce &gt; Settings &gt; Check - Enable tax rates and calculations
29,Disable taxes,WooCommerce &gt; Settings &gt; Uncheck - Enable tax rates and calculations
30,Enable coupons,WooCommerce &gt; Settings &gt; Check - Enable the use of coupon codes
31,Disable coupons,WooCommerce &gt; Settings &gt; Uncheck - Enable the use of coupon codes
32,Calculate coupon discounts sequentially,WooCommerce &gt; Settings &gt; Check - Calculate coupon discounts sequentially
33,Don&apos;t Calculate coupon discounts sequentially,WooCommerce &gt; Settings &gt; Uncheck - Calculate coupon discounts sequentially
34,Currency options,WooCommerce &gt; Settings &gt; Currency options
35,Select Currency,WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency
36,Currency position,WooCommerce &gt; Settings &gt; Currency options &gt; Currency position
37,Currency position - Left,WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Left
38,Currency position - Right,WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Right
39,Currency position - Left with space,WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Left with space
40,Currency position - Right with space,WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Right with space
41,Currency - Thousand separator,WooCommerce &gt; Settings &gt; Currency options &gt; Thousand separator &gt; Define - Delimiter
42,Currency - Decimal separator,WooCommerce &gt; Settings &gt; Currency options &gt; Decimal separator &gt; Define - Delimiter
43,Currency - Number of decimals,WooCommerce &gt; Settings &gt; Currency options &gt; Number of decimals &gt; Enter #
44,Products,WooCommerce &gt; Settings &gt; Products
45,Products - General,WooCommerce &gt; Settings &gt; Products &gt; General
46,Shop pages - Shop page,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Select - Shop page
47,Add to cart behaviour - Redirect to cart,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Check - Redirect to the cart page after successful addition
48,Add to cart behaviour - Don&apos;t Redirect to cart,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Uncheck - Redirect to the cart page after successful addition
49,Disable AJAX add to cart buttons on archives,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Uncheck - Enable AJAX add to cart buttons on archives
50,Enable AJAX add to cart buttons on archives,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Check - Enable AJAX add to cart buttons on archives
