id,name,path
1,WooCommerce Dashboard,WP Admin &gt; WooCommerce &gt; Dashboard
2,Order List,WP Admin &gt; WooCommerce &gt; Orders
3,New Manual Order,WP Admin &gt; WooCommerce &gt; Orders &gt; Button - Add Order (Top Left)
4,Order Details Page,WP Admin &gt; WooCommerce &gt; Orders &gt; Click Order #
5,Order Notes,WP Admin &gt; WooCommerce &gt; Orders &gt; Click Order # &gt; Find - Order Notes (Right side)
6,Coupons,WP Admin &gt; Marketing &gt; Coupons
7,Add Coupon,WP Admin &gt; Marketing &gt; Coupons &gt; Button - Add Coupon (Top Left)
8,Customer List,WP Admin &gt; WooCommerce &gt; Customers
9,Reports,WP Admin &gt; WooCommerce &gt; Reports
10,Order Reports,WP Admin &gt; WooCommerce &gt; Reports &gt; Order
11,Customer Reports,WP Admin &gt; WooCommerce &gt; Reports &gt; Customers
12,Stock Reports,WP Admin &gt; WooCommerce &gt; Reports &gt; Stock
13,General Settings,WP Admin &gt; WooCommerce &gt; Settings &gt; General
14,Store Address,WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; Store Address
15,Selling location(s),WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s)
16,Sell to all countries,WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s) &gt; Select - Sell to all countries
17,"Sell to all countries, except for..","WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s) &gt; Select - Sell to all countries, except for.."
18,Sell to Specific Countries,WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Selling location(s) &gt; Select - Sell to Specific Countries
19,Shipping location(s),WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s)
20,Ship to all countries you sell to,WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s) &gt; Select - Ship to all countries you sell to
21,Ship to all countries,WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s) &gt; Select - Ship to all countries
22,Disable shipping and shipping Calculations,WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Shipping location(s) &gt; Select - Disable shipping and shipping Calculations
23,Default customer location,WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location
24,Default customer location - Shop base address,WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; Shop base address
25,Default customer location - No location by default,WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; No location by default
26,Default customer location - Geolocate,WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; Geolocate
27,Cust. Location - Geolocate (with page caching support),WP Admin &gt; WooCommerce &gt; Settings &gt; General &gt; General options &gt; Default customer location &gt; Geolocate (with page caching support)
28,Enable taxes,WP Admin &gt; WooCommerce &gt; Settings &gt; Check - Enable tax rates and calculations
29,Disable taxes,WP Admin &gt; WooCommerce &gt; Settings &gt; Uncheck - Enable tax rates and calculations
30,Enable coupons,WP Admin &gt; WooCommerce &gt; Settings &gt; Check - Enable the use of coupon codes
31,Disable coupons,WP Admin &gt; WooCommerce &gt; Settings &gt; Uncheck - Enable the use of coupon codes
32,Calculate coupon discounts sequentially,WP Admin &gt; WooCommerce &gt; Settings &gt; Check - Calculate coupon discounts sequentially
33,Don&apos;t Calculate coupon discounts sequentially,WP Admin &gt; WooCommerce &gt; Settings &gt; Uncheck - Calculate coupon discounts sequentially
34,Currency options,WP Admin &gt; WooCommerce &gt; Settings &gt; Currency options
35,Select Currency,WP Admin &gt; WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency
36,Currency position,WP Admin &gt; WooCommerce &gt; Settings &gt; Currency options &gt; Currency position
37,Currency position - Left,WP Admin &gt; WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Left
38,Currency position - Right,WP Admin &gt; WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Right
39,Currency position - Left with space,WP Admin &gt; WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Left with space
40,Currency position - Right with space,WP Admin &gt; WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Right with space
41,Currency - Thousand separator,WP Admin &gt; WooCommerce &gt; Settings &gt; Currency options &gt; Thousand separator &gt; Define - Delimiter
42,Currency - Decimal separator,WP Admin &gt; WooCommerce &gt; Settings &gt; Currency options &gt; Decimal separator &gt; Define - Delimiter
43,Currency - Number of decimals,WP Admin &gt; WooCommerce &gt; Settings &gt; Currency options &gt; Number of decimals &gt; Enter #
44,Products,WP Admin &gt; WooCommerce &gt; Settings &gt; Products
45,Products - General,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General
46,Shop pages - Shop page,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Select - Shop page
47,Add to cart behaviour - Redirect to cart,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Check - Redirect to the cart page after successful addition
48,Add to cart behaviour - Don&apos;t Redirect to cart,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Uncheck - Redirect to the cart page after successful addition
49,Disable AJAX add to cart buttons on archives,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Uncheck - Enable AJAX add to cart buttons on archives
50,Enable AJAX add to cart buttons on archives,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Check - Enable AJAX add to cart buttons on archives
51,Shop pages - Placeholder image,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Placeholder image &gt; Define - attachment id for the placeholder image
52,Measurements - Weight unit,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Measurements &gt; Select - Weight unit
53,Measurements - Dimensions unit,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Measurements &gt; Select - Dimension unit
54,Reviews,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews
55,Reviews - Enable product reviews,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Check - Enable product reviews
56,Hide &quot;verified owner&quot; label on customer reviews,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Enable Reviews &gt; Uncheck - Show &quot;verified owner&quot; label on customer reviews
57,Show &quot;verified owner&quot; label on customer reviews,WP Admin &gt; WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Enable Reviews &gt; Check - Show &quot;verified owner&quot; label on customer reviews
